+-------+------------------------+---------------------+----------------+------------------+-----------+--------------------------+-----------------+-------------------------+-----------------------+------------------------+
| dbms  | TABLE_SCHEMA           | TABLE_NAME          | COLUMN_NAME    | ORDINAL_POSITION | DATA_TYPE | CHARACTER_MAXIMUM_LENGTH | CONSTRAINT_TYPE | REFERENCED_TABLE_SCHEMA | REFERENCED_TABLE_NAME | REFERENCED_COLUMN_NAME |
| mysql | db_42y45tk5c_42ybqdads | comment             | C_ID           |                6 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | client                | C_ID                   |
| mysql | db_42y45tk5c_42ybqdads | comment             | CO_Date        |                3 | date      |                     NULL | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | comment             | CO_Description |                2 | text      |                    65535 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | comment             | CO_ID          |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | comment             | CO_SuperID     |                4 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | comment               | CO_ID                  |
| mysql | db_42y45tk5c_42ybqdads | comment             | P_ID           |                5 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | post                  | P_ID                   |
| mysql | db_42y45tk5c_42ybqdads | reportto            | A_ID           |                3 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | admin                 | A_ID                   |
| mysql | db_42y45tk5c_42ybqdads | reportto            | C_ID           |                2 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | client                | C_ID                   |
| mysql | db_42y45tk5c_42ybqdads | reportto            | RT_ID          |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | manages             | A_ID           |                3 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | admin                 | A_ID                   |
| mysql | db_42y45tk5c_42ybqdads | manages             | C_ID           |                2 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | client                | C_ID                   |
